ABCE1	RPL4
ABCE1	TPP1
ABCE1	RPS25
ABCE1	KARS1
ABCE1	SMC4
ABCE1	RPL36
ABCE1	SAFB
ABCE1	HSPA8
ABCE1	FLOT1
ABCE1	CIP2A
ABCE1	STARD9
ABCE1	MACF1
ABCE1	RAB35
ABCE1	FDPS
ABCE1	RIPK1
ABCE1	RNF2
ABCE1	PDIA3
ABCE1	RBBP7
ABCE1	NDUFA13
ABCE1	MYO6
ABCE1	CCND1
ABCE1	DKC1
ABCE1	MED23
ABCE1	FLNA
ABCE1	SURF4
ABCE1	MDN1
ABCE1	DDX18
ABCE1	NDUFA4
ABCE1	UFL1
ABCE1	TECR
ABCE1	SMARCA5
ABCE1	SUPT16H
ABCE1	ITFG1
ABCE1	DNAJC7
ABCE1	PEG10
ABCE1	EPB41
ABCE1	GADD45GIP1
ABCE1	POC5
ABCE1	MAP1LC3B
ABCE1	TRIM28
ABCE1	PEBP1
ABCE1	SRRM2
ABCE1	PRKAR2A
ABCE1	RPS3A
ABCE1	HRAS
ABCE1	BRD4
ABCE1	CUL3
ABCE1	RRP12
ABCE1	VAPB
ABCE1	CTSA
ABCE1	VIM
ABCE1	CISD1
ABCF1	CHMP4C
ABCF1	DHX9
ABCF1	PRKAB1
ABCF1	LRRC59
ABCF1	PIH1D1
ABCF1	NINL
ABCF1	MAP2K1
ABCF1	HERC2
ABCF1	EMC2
ABCF1	PCSK4
ABCF1	XPO1
ABCF1	RPL27A
ABCF1	MYC
ABCF1	KIF14
ABCF1	ILF2
ABCF1	CMTR1
ABCF1	PTBP1
ABCF1	BRD7
ABCF1	CIT
ABCF1	TICAM1
ABCF1	TRIM28
ABCF1	SIRT7
ABCF1	SUB1
ABCF1	HNRNPU
ABCF1	MRE11
ABCF1	HNRNPM
ABCF1	PSMD8
ABCF1	PSMD13
ABCF1	HNRNPA0
ABCF1	COPS5
ABCF1	IFI16
ABCF1	RNF2
ABCF1	ITGB3BP
ABCF1	RPGRIP1L
ABCF1	HDGF
ABCF1	SNRNP70
ABCF1	CHD4
ABCF1	BRD4
ABCF1	POU5F1
ABCF1	RTRAF
ABCF1	NELFB
ABCF1	YBX3
ABCF1	H3-4
ABCF1	DDX1
ABCF1	KIF20A
ABCF1	DIMT1
ABCF1	NUPR1
ABCF1	SRPK1
ABCF1	ENG
ABCF1	EDC4
ABCF1	RFC4
ABCF1	CUL2
ABCF1	UBXN7
ABCF1	KDM1A
ABCF2	EZR
ABCF2	PRKCB
ABCG1	ABCG4
ABCG1	ABCG5
ABCG1	ACSL4
ABCG1	PDCD6IP
ABCG1	LAMP2
ABCG1	SH3GLB1
ABCG1	AP1S2
ABCG2	HAVCR1
ABCG2	PIM1
ABCG4	WFS1
ABCG4	GPR152
ABCG8	AGPAT2
ABCG8	MAL2
ABCG8	PTPRD
ABCG8	ABCG5
ABHD10	NAXE
ABHD10	C1QBP
ABHD10	DLD
ABHD10	HTRA2
ABHD10	RPUSD4
ABHD10	OAT
ABHD10	MRM1
ABHD10	CISD3
ABHD10	EGLN3
ABHD10	REXO2
ABHD10	CLPP
ABHD10	ARL3
ABHD10	TXNDC12
ABHD10	SUCLG2
ABHD10	ANXA5
ABHD10	UBE2A
ABHD10	PMPCB
